BioSample Accession	Isolate Name
SAMN05221260	20153236
SAMN05221261	20153237
SAMN05221262	20153238
SAMN05221263	20153239
SAMN05221264	20153240
SAMN05221265	20153241
SAMN05221266	20153242
SAMN05221267	20153244
SAMN05221268	20153245
SAMN05221269	20153246
SAMN05221270	20153247
SAMN05221271	20153248
SAMN05221272	20153249
SAMN05221273	20153250
SAMN05221274	20153251
SAMN05221275	20153252
SAMN05221276	20153253
SAMN05221277	20153254
SAMN05221278	20153256
SAMN05221279	20153257
SAMN05221280	20153258
SAMN05221281	20153259
SAMN05221282	20153260
SAMN05221283	20153261
SAMN05221284	20153262
SAMN05221285	20153263
SAMN05221286	20153264
SAMN05221287	20153265
SAMN05221288	20153266
SAMN05221289	20153267
SAMN05221290	20153268
SAMN05221291	20153269
SAMN05221292	20153270
SAMN05221293	20153271
SAMN05221294	20153272
SAMN05221295	20153273
SAMN05221296	20153274
SAMN05221297	20153275
SAMN05221298	20153276
SAMN05221299	20153277
SAMN05221300	20153278
SAMN05221301	20153279
SAMN05221302	20153280
SAMN05221303	20153281
SAMN05221304	20153282
SAMN05221305	20153283
SAMN05221306	20153284
SAMN05221307	20153285
SAMN05221308	20153286
SAMN05221309	20153287
SAMN05221310	20153288
SAMN05221311	20153289
SAMN05221312	20153290
SAMN05221313	20153291
SAMN05221314	20153292
SAMN05221315	20153293
SAMN05221316	20153294
SAMN05221317	20153295
SAMN05221318	20153296
SAMN05221319	20153297
SAMN05221320	20153298
SAMN05221321	20153299
SAMN05221322	20153300
SAMN05221323	20153301
SAMN05221324	20153302
SAMN05221325	20153304
SAMN05221326	20153305
SAMN05221327	20153306
SAMN05221328	20153307
SAMN05221329	20153308
SAMN05221330	20153309
SAMN05221331	20153310
SAMN05221332	20153311
SAMN05221333	20153312
SAMN05221334	20153313
SAMN05221335	20153314
SAMN05221336	20153315
SAMN05221337	20153392
SAMN05221338	20153394
SAMN05221339	20153395
SAMN05221340	20153396
SAMN05221341	20153397
SAMN05221342	20153398
SAMN05221343	20153399
SAMN05221344	20153400
SAMN05221345	20153401
SAMN05221346	20153402
SAMN05221347	20153403
SAMN05221348	20153404
SAMN05221349	20153405
SAMN05221350	20153406
SAMN05221351	20153407
SAMN05221352	20153408
SAMN05221353	20153409
SAMN05221354	20153410
SAMN05221355	20153411
SAMN05221356	20153412
SAMN05221357	20153413
SAMN05221358	20153414
SAMN05221359	20153415
SAMN05221360	20153416
SAMN05221361	20153417
SAMN05221362	20153418
SAMN05221363	20153419
SAMN05221364	20153420
SAMN05221365	20153421
SAMN05221366	20153422
SAMN05221367	20153423
SAMN05221368	20153424
SAMN05221369	20153425
SAMN05221370	20153426
SAMN05221371	20153427
SAMN05221372	20153428
SAMN05221373	20153429
SAMN05221374	20153430
SAMN05221375	20153431
SAMN05221376	20153432
SAMN05221377	20153433
SAMN05221378	20153434
SAMN05221379	20153445
SAMN05221380	20153446
SAMN05221381	20153447
SAMN05221382	20153448
SAMN05221383	20153449
SAMN05221384	20153451
SAMN05221385	20153453
SAMN05221386	20153454
SAMN05221387	20153455
SAMN05221388	20153456
SAMN05221389	20153457
SAMN05221390	20153458
SAMN05221391	20153459
SAMN05221392	20153460
SAMN05221393	20153461
SAMN05221394	20153462
SAMN05221395	20153463
SAMN05221396	20153464
SAMN05221397	20153465
SAMN05221398	20153466
SAMN05221399	20153467
SAMN05221400	20153468
SAMN05221401	20153469
SAMN05221402	20153470
SAMN05221403	20153471
SAMN05221404	20153472
SAMN05221405	20153473
SAMN05221406	20153474
SAMN05221407	20153475
SAMN05221408	20153476
SAMN05221409	20153477
SAMN05221410	20153478
SAMN05221411	20153479
SAMN05221412	20153526
SAMN05221413	20153527
SAMN05221414	20153528
SAMN05221415	20153529
SAMN05221416	20153530
SAMN05221417	20153856
SAMN05221418	20153857
SAMN05221419	20153858
SAMN05221420	20153859
SAMN05221421	20153860
SAMN05221422	20153861
SAMN05221423	20153876
SAMN05221424	20153877
SAMN05221425	20153878
SAMN05221426	20153879
SAMN05221427	20153880
SAMN05221428	20153881
SAMN05221429	20153882
SAMN05221430	20153883
SAMN05221431	20153884
SAMN05221432	20153885
SAMN05221433	20153886
SAMN05221434	20153887
SAMN05221435	20153888
SAMN05221436	20153889
SAMN05221437	20153890
SAMN05221438	20153891
SAMN05221439	20153892
SAMN05221440	20153893
SAMN05221441	20153894
SAMN05221442	20153896
SAMN05221443	20153897
SAMN05221444	20153898
SAMN05221445	20153899
SAMN05221446	20153900
SAMN05221447	20153901
SAMN05221448	20153902
SAMN05221449	20153903
SAMN05221450	20153904
SAMN05221451	20153905
SAMN05221452	20153906
SAMN05221453	20153907
SAMN05221454	20153908
SAMN05221455	20153909
SAMN05221456	20153910
SAMN05221457	20153911
SAMN05221458	20153912
SAMN05221459	20153913
SAMN05221460	20153914
SAMN05221461	20153915
SAMN05221462	20153916
SAMN05221463	20153917
SAMN05221464	20153918
SAMN05221465	20153919
SAMN05221466	20153920
SAMN05221467	20153921
SAMN05221468	20153922
SAMN05221469	20153923
SAMN05221470	20153924
SAMN05221471	20153925
SAMN05221472	20153926
SAMN05221473	20153927
SAMN05221474	20153928
SAMN05221475	20153929
SAMN05221476	20153930
SAMN05221477	20153931
SAMN05221478	20153932
SAMN05221479	20153933
SAMN05221480	20153934
SAMN05221481	20153935
SAMN05221482	20153936
SAMN05221483	20153937
SAMN05221484	20153938
SAMN05221485	20153939
SAMN05221486	20153940
SAMN05221487	20153941
SAMN05221488	20153942
SAMN05221489	20153943
SAMN05221490	20153944
SAMN05221491	20153945
SAMN05221492	20153946
SAMN05221493	20153947
SAMN05221494	20153948
SAMN05221495	20153949
SAMN05221496	20153950
SAMN05221497	20153951
SAMN05221498	20153952
SAMN05221499	20153953
SAMN05221500	20153954
SAMN05221501	20153955
SAMN05221502	20153956
SAMN05221503	20153957
SAMN05221504	20153958
SAMN05221505	20153959
SAMN05221506	20153960
SAMN05221507	20153961
SAMN05221508	20153962
SAMN05221509	20153963
SAMN05221510	20153964
SAMN05221511	20153965
SAMN05221512	20153966
SAMN05221513	20153967
SAMN05221514	20153968
SAMN05221515	20153969
SAMN05221516	20153970
SAMN05221517	20153971
SAMN05221518	20153972
SAMN05221519	20153973
SAMN05221520	20153974
SAMN05221521	20153975
SAMN05221522	20153976
SAMN05221523	20153977
SAMN05221524	20153978
SAMN05221525	20153979
SAMN05221526	20153980
SAMN05221527	20153981
SAMN05221528	20153982
SAMN05221529	20153983
SAMN05221530	20153984
SAMN05221531	20153985
SAMN05221532	20153986
SAMN05221533	20153987
SAMN05221534	20153988
SAMN05221535	20153989
SAMN05221536	20153990
SAMN05221537	20153991
SAMN05221538	20153992
SAMN05221539	20153993
SAMN05221540	20153994
SAMN05221541	20153995
SAMN05221542	20153996
SAMN05221543	20153997
SAMN05221544	20153998
SAMN05221545	20153999
SAMN05221546	20154000
SAMN05221547	20154001
SAMN05221849	20154002
SAMN05221850	20154241
SAMN05221851	20154242
SAMN05221852	20154243
SAMN05221853	20154244
SAMN05221854	20154245
SAMN05221855	20154246
SAMN05221856	20154247
SAMN05221857	20154248
SAMN05221858	20154249
SAMN05221859	20154250
SAMN05221860	20154251
SAMN05221861	20154252
SAMN05221862	20154253
SAMN05221863	20154254
SAMN05221864	20154255
SAMN05221865	20154256
SAMN05221866	20154257
SAMN05221867	20154258
SAMN05221868	20154259
SAMN05221869	20154260
SAMN05221870	20154261
SAMN05221871	20154262
SAMN05221872	20154263
SAMN05221873	20154264
SAMN05221874	20154265
SAMN05221875	20154266
SAMN05221876	20154267
SAMN05221877	20154268
SAMN05221878	20154269
SAMN05221879	20154270
SAMN05221880	20154271
SAMN05221881	20154272
SAMN05221882	20154273
SAMN05221883	20154274
SAMN05221884	20154275
SAMN05221885	20154276
SAMN05221886	20154277
SAMN05221887	20154278
SAMN05221888	20154279
SAMN05221889	20154280
SAMN05221890	20154281
SAMN05221891	20154282
SAMN05221892	20154283
SAMN05221893	20154284
SAMN05221894	20154285
SAMN05221895	20154286
SAMN05221896	20154287
SAMN05221897	20154327
SAMN05221898	20154328
SAMN05221899	20154329
SAMN05221900	20154330
SAMN05221901	20154331
SAMN05221902	20154332
SAMN05221903	20154333
SAMN05221904	20154334
SAMN05221905	20154335
SAMN05221906	20154336
SAMN05221907	20154337
SAMN05221908	20154338
SAMN05221909	20154339
SAMN05221910	20154340
SAMN05221911	20154341
SAMN05221912	20154342
SAMN05221913	20154343
SAMN05221914	20154344
SAMN05221915	20154345
SAMN05221916	20154346
SAMN05221917	20154347
SAMN05221918	20154348
SAMN05221919	20154349
SAMN05221920	20154350
SAMN05221921	20154351
SAMN05221922	20154353
SAMN05221923	20154354
SAMN05221924	20154355
SAMN05221925	20154356
SAMN05221926	20154357
